ParticipantId,StartTime (America/New_York),CompletionTime (America/New_York),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,Political Ideology
46D0AD99DBE5470D856C6F09556B1B4E,07/24/2023 01:57:03 PM,07/24/2023 02:01:47 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
AF329573F9A64CC0BF4371D478335CFF,07/24/2023 01:57:05 PM,07/24/2023 02:01:50 PM,Redirect,,0,0,0,Pending,Moderate
FB205A4574FA4A49B070A582982BCD01,07/24/2023 01:57:06 PM,07/24/2023 02:00:23 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
CB2A62D186194087B8BBDE2AA49F9EEE,07/24/2023 01:57:08 PM,07/24/2023 02:18:11 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
29099C005ED247DEA9BD01DD247C8428,07/24/2023 01:57:08 PM,07/24/2023 02:25:34 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
8EF8787736E24E4F8079EEA28A20703F,07/24/2023 01:57:11 PM,07/24/2023 02:03:01 PM,Redirect,,0,0,0,Pending,Conservative
C358D504129B44388A02DC6F6D250043,07/24/2023 01:57:12 PM,07/24/2023 02:03:38 PM,Redirect,,0,0,0,Pending,Conservative
C6262A850B1145F7A713CB503DB153BD,07/24/2023 01:57:13 PM,07/24/2023 02:03:08 PM,Redirect,,0,0,0,Pending,Conservative
109683F3D7E1447DA176A5857EE46F6B,07/24/2023 01:57:13 PM,07/24/2023 02:03:13 PM,Redirect,,0,0,0,Pending,Conservative
01BDCB71123048979A77AB656EEBD585,07/24/2023 01:57:14 PM,07/24/2023 02:01:54 PM,Redirect,,0,0,0,Pending,Moderate
7CB2AF25A677449F8511D6E7D208F39D,07/24/2023 01:57:14 PM,07/24/2023 02:06:02 PM,Redirect,,0,0,0,Pending,Moderate
6679E93965C5459E98F5784A3DB5F623,07/24/2023 01:57:15 PM,,,,0,0,0,Returned,Somewhat Conservative
487D5D1851D6449AAB4DE6117473E58F,07/24/2023 01:57:15 PM,07/24/2023 02:04:54 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
353A003493CF4C8B88BA6A14725C5886,07/24/2023 01:57:18 PM,07/24/2023 02:04:12 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
D2F4C8CC5C3F4F29920866D0065240B8,07/24/2023 01:57:18 PM,07/24/2023 02:01:40 PM,Redirect,,0,0,0,Pending,Conservative
414B488E96C149CB847C9410220F910E,07/24/2023 01:57:18 PM,07/24/2023 02:03:01 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
9E679AA1976B41E5AB2EBF1BD1860BE6,07/24/2023 01:57:18 PM,07/24/2023 02:05:42 PM,Redirect,,0,0,0,Pending,Moderate
4C6FA60C7B6E43C38F352138C86754A9,07/24/2023 01:57:19 PM,07/24/2023 02:01:20 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
