participantId,idx,bot_detection,reported_ideology,labels,answer_distance
009FE64FA74E46D7978DA02606B0C060,0,True,1.2,"[2, 5]",0
009FE64FA74E46D7978DA02606B0C060,1,False,0.0,"[3, 8]",0
009FE64FA74E46D7978DA02606B0C060,2,True,-1.5,"[0, 7]",0
01A6EF5235F344B3A7D270BFD97FF693,0,True,1.0,"[2, 5, 9]",0
01A6EF5235F344B3A7D270BFD97FF693,1,False,0.0,"[5, 6, 8]",0
01A6EF5235F344B3A7D270BFD97FF693,2,True,0.0,"[3, 4, 8]",0
02673988CCD94CD29BC5AA5599730EE4,0,False,0.0,"[1, 7]",0
02673988CCD94CD29BC5AA5599730EE4,1,False,0.0,"[2, 6]",0
02673988CCD94CD29BC5AA5599730EE4,2,False,0.0,"[2, 6]",0
036D9C8010574494A5069728410F3D88,0,False,0.0,[1],0
036D9C8010574494A5069728410F3D88,1,False,1.3,[2],0
036D9C8010574494A5069728410F3D88,2,False,1.0,[3],0
0474482512B64E23A3FA72F2802AAD17,0,True,0.3,[3],0
0474482512B64E23A3FA72F2802AAD17,1,False,-0.1,"[1, 3]",0
0474482512B64E23A3FA72F2802AAD17,2,True,-0.4,[5],0
0638D16541494716AE68D3E4A07457BF,0,True,-1.0,[1],0
0638D16541494716AE68D3E4A07457BF,1,False,-2.0,[0],0
0638D16541494716AE68D3E4A07457BF,2,True,1.0,[2],0
074319D7838A4620AC283635EBA30D3C,0,False,0.0,"[4, 3]",0
074319D7838A4620AC283635EBA30D3C,1,False,0.0,"[3, 6, 8]",0
074319D7838A4620AC283635EBA30D3C,2,True,0.0,"[0, 7, 9]",0
074A1C2E60F245C0A0873ADBD8F6DF8B,0,False,-1.0,"[3, 6]",0
074A1C2E60F245C0A0873ADBD8F6DF8B,1,False,1.0,"[2, 4, 6]",0
074A1C2E60F245C0A0873ADBD8F6DF8B,2,False,-1.0,"[0, 5, 7]",0
07523332618D4AE4AE94908E956B8799,0,True,1.0,[3],0
07523332618D4AE4AE94908E956B8799,1,False,2.0,"[2, 4, 8]",0
07523332618D4AE4AE94908E956B8799,2,True,-2.0,[0],0
0870B39E7CB348DBB74699311458D574,0,True,-1.0,"[1, 8]",0
0870B39E7CB348DBB74699311458D574,1,False,2.0,"[2, 8]",0
0870B39E7CB348DBB74699311458D574,2,True,-1.9,[0],0
090C2C2C579C410ABB7E60595B30EA2B,0,True,2.0,"[2, 7, 5]",0
090C2C2C579C410ABB7E60595B30EA2B,1,False,1.0,"[6, 4, 3]",0
090C2C2C579C410ABB7E60595B30EA2B,2,True,-2.0,"[0, 8, 7]",0
0B82D3E1CCFC4BD6979FF97C94AD7AEE,0,False,0.0,"[4, 8, 6]",0
0B82D3E1CCFC4BD6979FF97C94AD7AEE,1,False,0.0,"[8, 6, 4]",0
0B82D3E1CCFC4BD6979FF97C94AD7AEE,2,False,0.0,"[4, 8, 6]",0
14936BCF874242D5927D7D46980EA717,0,False,0.7,"[1, 6]",0
14936BCF874242D5927D7D46980EA717,1,False,1.0,"[6, 0, 4]",0
14936BCF874242D5927D7D46980EA717,2,False,1.2,"[0, 4, 6]",0
1542E6F75D704E3BA0D5726CF3CA1F43,0,True,1.0,"[2, 7, 8]",0
1542E6F75D704E3BA0D5726CF3CA1F43,1,False,-1.0,"[1, 4, 8]",0
