participantId,condition,ideology_all_zeros,idx_of_question,who_answers_first,bot_detection,ideology,bot_ideology,ideology_distance,answer,bot_answer,answer_distance,affection_competence,affection_warmth
009AFBEE6704466A96A1BDFDF031CACC,2,True,1,1,False,0.0,"[0.0, 0.0]","[0, 0]",-3.0,"[1.5730159204980954, 1.946572968472971]",3.0,1,0
009AFBEE6704466A96A1BDFDF031CACC,2,True,2,2,False,0.0,[0.0],0,0.20000000000000015,[-2.2666666666666666],2.466666666666667,1,0
009AFBEE6704466A96A1BDFDF031CACC,2,True,5,1,False,0.0,"[0.0, 0.0]","[0, 0]",-3.0,"[0.5963623211976667, -0.699945320241171]",3.0,1,0
009AFBEE6704466A96A1BDFDF031CACC,2,True,0,0,False,0.0,[0.0],0,1.0,[1.3],0.30000000000000004,1,0
009AFBEE6704466A96A1BDFDF031CACC,2,True,4,0,False,0.0,[0.0],0,-1.0,[2.2],3.2,1,0
009AFBEE6704466A96A1BDFDF031CACC,2,True,3,2,False,0.0,[0.0],0,0.5,[2.1500000000000004],1.6500000000000004,1,0
0163CEF6924B41B5A70EE79DD42D6712,2,False,2,1,False,1.0,"[2.0, -1.6]","[1, 2.6]",-1.666666666666667,"[-0.24956693249029627, -1.3916307741799843]",1.962962962962963,0,0
0163CEF6924B41B5A70EE79DD42D6712,2,False,0,1,False,1.0,"[2.0, -1.6]","[1, 2.6]",0.0,"[-2.9532344283642997, -2.079803114201093]",1.5,0,0
0163CEF6924B41B5A70EE79DD42D6712,2,False,3,0,False,1.0,[2.0],1,-0.5,[1.1500000000000004],1.6500000000000004,0,0
0163CEF6924B41B5A70EE79DD42D6712,2,False,4,0,False,1.0,[2.0],1,-1.0,[-1.8],0.8,0,0
0163CEF6924B41B5A70EE79DD42D6712,2,False,5,2,False,1.0,[-1.6],2.6,-2.0,[-1.3],0.7,0,0
0163CEF6924B41B5A70EE79DD42D6712,2,False,1,2,False,1.0,[-1.6],2.6,-3.0,[-0.8],2.2,0,0
