participantId,idx_of_question,who_answers_first,bot_detection,ideology_distance,answer_distance,validity_level,has_SCM_label
009AFBEE6704466A96A1BDFDF031CACC,1,1,False,0.0,3.0,3,True
009AFBEE6704466A96A1BDFDF031CACC,2,2,False,0.0,2.466666666666667,3,True
009AFBEE6704466A96A1BDFDF031CACC,5,1,False,0.0,3.0,3,True
009AFBEE6704466A96A1BDFDF031CACC,0,0,False,0.0,0.30000000000000004,3,True
009AFBEE6704466A96A1BDFDF031CACC,4,0,False,0.0,3.2,3,True
009AFBEE6704466A96A1BDFDF031CACC,3,2,False,0.0,1.6500000000000004,3,True
0163CEF6924B41B5A70EE79DD42D6712,2,1,False,0.0,1.962962962962963,3,False
0163CEF6924B41B5A70EE79DD42D6712,0,1,False,0.0,1.5,3,False
0163CEF6924B41B5A70EE79DD42D6712,3,0,False,1.0,1.6500000000000004,3,False
0163CEF6924B41B5A70EE79DD42D6712,4,0,False,1.0,0.8,3,False
0163CEF6924B41B5A70EE79DD42D6712,5,2,False,2.6,0.7,3,False
0163CEF6924B41B5A70EE79DD42D6712,1,2,False,2.6,2.2,3,False
0207800282DC461FB786F34E978670DB,4,1,True,0.0,1.7016666666666669,3,False
0207800282DC461FB786F34E978670DB,0,0,True,2.2,0.10000000000000009,3,False
0207800282DC461FB786F34E978670DB,1,2,True,0.9,1.2000000000000002,3,False
0207800282DC461FB786F34E978670DB,2,0,True,2.2,3.6,3,False
0207800282DC461FB786F34E978670DB,5,1,True,0.0,2.1666666666666665,3,False
0207800282DC461FB786F34E978670DB,3,2,True,0.9,0.39999999999999847,3,False
0262A6C4C3664465B2807CF144E0B9F7,2,1,False,0.0,1.7399999999999995,3,True
0262A6C4C3664465B2807CF144E0B9F7,1,1,False,0.0,2.1666666666666665,3,True
0262A6C4C3664465B2807CF144E0B9F7,4,0,False,1.4000000000000001,3.0,3,False
0262A6C4C3664465B2807CF144E0B9F7,0,2,False,0.5,1.1,3,True
0262A6C4C3664465B2807CF144E0B9F7,3,0,False,1.4000000000000001,1.700000000000001,3,False
0262A6C4C3664465B2807CF144E0B9F7,5,2,False,0.5,0.7,3,True
0271A187718B4488A4B1407D940D09D9,4,1,False,0.0,2.235,3,True
0271A187718B4488A4B1407D940D09D9,1,1,False,0.0,1.5416666666666667,3,True
0271A187718B4488A4B1407D940D09D9,2,2,False,0.0,0.7333333333333334,3,True
0271A187718B4488A4B1407D940D09D9,5,0,False,0.0,1.3,3,True
0271A187718B4488A4B1407D940D09D9,3,2,False,0.0,0.04999999999999899,3,True
0271A187718B4488A4B1407D940D09D9,0,0,False,0.0,1.7,3,True
028687F82CEF4E15B1B596ED0A8BD7A1,1,1,False,0.0,3.0,3,True
028687F82CEF4E15B1B596ED0A8BD7A1,5,1,False,0.0,3.0,3,True
028687F82CEF4E15B1B596ED0A8BD7A1,3,0,False,2.6,2.75,0,False
028687F82CEF4E15B1B596ED0A8BD7A1,2,0,False,2.6,1.5333333333333332,0,False
028687F82CEF4E15B1B596ED0A8BD7A1,4,2,False,0.0,0.5,3,True
028687F82CEF4E15B1B596ED0A8BD7A1,0,2,False,0.0,0.0,3,True
03204146D04547308EC69CEDD44A37F9,3,1,False,0.0,2.1666666666666665,3,True
